Episode,Step,Action,Reward
0,0,"[[[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 ...

 [[0.00120151 0.00118614 0.00099918]
  [0.00123245 0.0012176  0.0010237 ]
  [0.00127972 0.00126673 0.00106795]
  ...
  [0.001067   0.00104931 0.00077171]
  [0.00089114 0.00087255 0.00061268]
  [0.00080924 0.00079319 0.00054078]]

 [[0.00126092 0.00124564 0.00104731]
  [0.00128983 0.00127774 0.00107792]
  [0.00128492 0.00127226 0.00107234]
  ...
  [0.00095005 0.00093067 0.00066512]
  [0.00096708 0.0009429  0.00067878]
  [0.00094177 0.00091715 0.00065421]]

 [[0.00126209 0.00124672 0.0010468 ]
  [0.00125781 0.00124254 0.00104262]
  [0.00125677 0.00124142 0.00104156]
  ...
  [0.00086837 0.00084983 0.00058951]
  [0.00077347 0.00075147 0.00050206]
  [0.00085111 0.00083062 0.00057397]]]",[0.62901429 0.73495068],-2.134431962576013
0,1,"[[[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 ...

 [[0.00120151 0.00118614 0.00099918]
  [0.00123245 0.0012176  0.0010237 ]
  [0.00127972 0.00126673 0.00106795]
  ...
  [0.001067   0.00104931 0.00077171]
  [0.00089114 0.00087255 0.00061268]
  [0.00080924 0.00079319 0.00054078]]

 [[0.00126092 0.00124564 0.00104731]
  [0.00128983 0.00127774 0.00107792]
  [0.00128492 0.00127226 0.00107234]
  ...
  [0.00095005 0.00093067 0.00066512]
  [0.00096708 0.0009429  0.00067878]
  [0.00094177 0.00091715 0.00065421]]

 [[0.00126209 0.00124672 0.0010468 ]
  [0.00125781 0.00124254 0.00104262]
  [0.00125677 0.00124142 0.00104156]
  ...
  [0.00086837 0.00084983 0.00058951]
  [0.00077347 0.00075147 0.00050206]
  [0.00085111 0.00083062 0.00057397]]]",[0.29969406 0.23636724],-2.134431962576013
0,2,"[[[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 ...

 [[0.00120151 0.00118614 0.00099918]
  [0.00123245 0.0012176  0.0010237 ]
  [0.00127972 0.00126673 0.00106795]
  ...
  [0.001067   0.00104931 0.00077171]
  [0.00089114 0.00087255 0.00061268]
  [0.00080924 0.00079319 0.00054078]]

 [[0.00126092 0.00124564 0.00104731]
  [0.00128983 0.00127774 0.00107792]
  [0.00128492 0.00127226 0.00107234]
  ...
  [0.00095005 0.00093067 0.00066512]
  [0.00096708 0.0009429  0.00067878]
  [0.00094177 0.00091715 0.00065421]]

 [[0.00126209 0.00124672 0.0010468 ]
  [0.00125781 0.00124254 0.00104262]
  [0.00125677 0.00124142 0.00104156]
  ...
  [0.00086837 0.00084983 0.00058951]
  [0.00077347 0.00075147 0.00050206]
  [0.00085111 0.00083062 0.00057397]]]",[ 0.35687231 -0.0549534 ],-2.134431962576013
0,3,"[[[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 ...

 [[0.00120151 0.00118614 0.00099918]
  [0.00123245 0.0012176  0.0010237 ]
  [0.00127972 0.00126673 0.00106795]
  ...
  [0.001067   0.00104931 0.00077171]
  [0.00089114 0.00087255 0.00061268]
  [0.00080924 0.00079319 0.00054078]]

 [[0.00126092 0.00124564 0.00104731]
  [0.00128983 0.00127774 0.00107792]
  [0.00128492 0.00127226 0.00107234]
  ...
  [0.00095005 0.00093067 0.00066512]
  [0.00096708 0.0009429  0.00067878]
  [0.00094177 0.00091715 0.00065421]]

 [[0.00126209 0.00124672 0.0010468 ]
  [0.00125781 0.00124254 0.00104262]
  [0.00125677 0.00124142 0.00104156]
  ...
  [0.00086837 0.00084983 0.00058951]
  [0.00077347 0.00075147 0.00050206]
  [0.00085111 0.00083062 0.00057397]]]",[ 0.8       -0.3724422],-2.134431962576013
0,4,"[[[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 ...

 [[0.00120151 0.00118614 0.00099918]
  [0.00123245 0.0012176  0.0010237 ]
  [0.00127972 0.00126673 0.00106795]
  ...
  [0.001067   0.00104931 0.00077171]
  [0.00089114 0.00087255 0.00061268]
  [0.00080924 0.00079319 0.00054078]]

 [[0.00126092 0.00124564 0.00104731]
  [0.00128983 0.00127774 0.00107792]
  [0.00128492 0.00127226 0.00107234]
  ...
  [0.00095005 0.00093067 0.00066512]
  [0.00096708 0.0009429  0.00067878]
  [0.00094177 0.00091715 0.00065421]]

 [[0.00126209 0.00124672 0.0010468 ]
  [0.00125781 0.00124254 0.00104262]
  [0.00125677 0.00124142 0.00104156]
  ...
  [0.00086837 0.00084983 0.00058951]
  [0.00077347 0.00075147 0.00050206]
  [0.00085111 0.00083062 0.00057397]]]",[0.71847207 0.331512  ],-2.1401670845963765
0,5,"[[[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 ...

 [[0.00119891 0.00118354 0.00099514]
  [0.00119916 0.00118378 0.00099759]
  [0.00121845 0.00120307 0.00101247]
  ...
  [0.00083067 0.00081277 0.00055687]
  [0.00087126 0.00085343 0.00059449]
  [0.00090126 0.00088179 0.00062046]]

 [[0.00119584 0.00118049 0.0009928 ]
  [0.00124496 0.00122994 0.0010346 ]
  [0.00126618 0.0012509  0.00105151]
  ...
  [0.00095759 0.00093579 0.00066917]
  [0.00100681 0.00098716 0.00071582]
  [0.00085344 0.0008348  0.00057685]]

 [[0.00127747 0.00126458 0.00106598]
  [0.00129494 0.00128366 0.0010838 ]
  [0.00125801 0.00124292 0.0010431 ]
  ...
  [0.00084439 0.00082575 0.00056783]
  [0.00106478 0.00104677 0.00076875]
  [0.00106206 0.00104491 0.00076893]]]",[ 0.66178735 -0.06373546],-2.1462842600318037
0,6,"[[[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 ...

 [[0.00124544 0.00123006 0.00103014]
  [0.00125095 0.00123557 0.0010357 ]
  [0.00125786 0.00124249 0.0010436 ]
  ...
  [0.00103124 0.00101313 0.00073885]
  [0.00086401 0.00084343 0.00058617]
  [0.00081198 0.00079493 0.00054248]]

 [[0.00123505 0.00121967 0.00102271]
  [0.00123525 0.00121987 0.00102552]
  [0.00122339 0.00120801 0.00101907]
  ...
  [0.00089106 0.00087457 0.00061077]
  [0.00087366 0.000854   0.00059517]
  [0.00093609 0.00091676 0.00065128]]

 [[0.00120355 0.00118817 0.00100159]
  [0.00122148 0.0012061  0.00101354]
  [0.00122075 0.00120537 0.00101446]
  ...
  [0.00092176 0.00090126 0.000637  ]
  [0.00081295 0.00079646 0.00054149]
  [0.00078693 0.00076818 0.00051723]]]",[0.         0.47763416],-2.154866006355062
0,7,"[[[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 ...

 [[0.00123206 0.00121668 0.00102282]
  [0.00125202 0.00123664 0.0010378 ]
  [0.00123723 0.00122186 0.00102725]
  ...
  [0.00086868 0.00084892 0.00059107]
  [0.00102194 0.00100377 0.00073131]
  [0.00098441 0.00096606 0.00069626]]

 [[0.00125433 0.00123895 0.00103947]
  [0.0012364  0.00122102 0.00102522]
  [0.00121406 0.00119868 0.00101122]
  ...
  [0.00083142 0.00081451 0.00055886]
  [0.00089607 0.00087909 0.00061566]
  [0.0009795  0.00096081 0.00069078]]

 [[0.00124328 0.0012279  0.00102861]
  [0.00123981 0.00122443 0.00102715]
  [0.00121107 0.00119569 0.00100767]
  ...
  [0.00088087 0.00085871 0.00060013]
  [0.00099197 0.00097194 0.00070224]
  [0.00099126 0.00096961 0.00070118]]]",[0.43461028 0.12682316],-2.168087908447826
0,8,"[[[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 ...

 [[0.00123336 0.00121799 0.00102267]
  [0.00121744 0.00120206 0.00101022]
  [0.00117388 0.0011585  0.00097294]
  ...
  [0.00085516 0.00083605 0.00057949]
  [0.00096872 0.00094291 0.00068676]
  [0.0009254  0.0008997  0.00066078]]

 [[0.00121983 0.00120445 0.00101456]
  [0.00120888 0.00119351 0.00100562]
  [0.00120276 0.00118739 0.00099808]
  ...
  [0.00083936 0.00082188 0.00056356]
  [0.00087115 0.00085315 0.00059447]
  [0.00092063 0.00089879 0.0006374 ]]

 [[0.00125689 0.00124151 0.0010432 ]
  [0.00123426 0.00121889 0.00102461]
  [0.00115901 0.00114363 0.0009574 ]
  ...
  [0.00090503 0.00088894 0.00061929]
  [0.00098006 0.00096074 0.00068922]
  [0.00099379 0.00097575 0.000703  ]]]",[0.8       0.8872776],-2.1836570525330803
0,9,"[[[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 [[0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  ...
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]
  [0.00053825 0.00069204 0.00049212]]

 ...

 [[0.00119411 0.00117873 0.00099335]
  [0.00117033 0.00115495 0.00097045]
  [0.00116755 0.00115217 0.00096821]
  ...
  [0.0009115  0.00087641 0.0006801 ]
  [0.00084476 0.00080766 0.00062043]
  [0.00087085 0.00083839 0.00064444]]

 [[0.00117266 0.00115728 0.00097347]
  [0.00114314 0.00112776 0.00094717]
  [0.00115675 0.00114137 0.00095867]
  ...
  [0.00078001 0.0007511  0.00055679]
  [0.00080974 0.00077302 0.00058848]
  [0.00098339 0.0009491  0.00074824]]

 [[0.00113084 0.00111546 0.00093568]
  [0.00115867 0.0011433  0.00096117]
  [0.00118029 0.00116492 0.00097983]
  ...
  [0.00086029 0.00084073 0.0006031 ]
  [0.00084794 0.00081815 0.00061303]
  [0.00084216 0.00081344 0.00061817]]]",[0.60832391 0.07157958],-2.1946733456020424
